Episode Number,Pitch Number,NEG,NEU,POS
7,4,0.098594531416893,0.30973127484321594,0.5916741490364075
1,3,0.33091655373573303,0.529218852519989,0.13986459374427795
10,2,0.7293167114257812,0.22087500989437103,0.049808282405138016
10,1,0.6066468954086304,0.3340083360671997,0.05934474617242813
3,2,0.23777946829795837,0.4735036790370941,0.2887169420719147
5,4,0.3892981708049774,0.4833882749080658,0.1273135393857956
2,2,0.09381425380706787,0.410362184047699,0.4958235025405884
14,4,0.012169741094112396,0.03512679040431976,0.9527035355567932
11,1,0.1765434294939041,0.5082923769950867,0.315164178609848
13,3,0.3514200448989868,0.5162882804870605,0.13229165971279144
19,2,0.08643241226673126,0.39240413904190063,0.5211634039878845
12,2,0.7888485193252563,0.1603894829750061,0.05076203867793083
20,2,0.07018450647592545,0.34322598576545715,0.586589515209198
13,2,0.28566974401474,0.4920841157436371,0.22224614024162292
15,2,0.2528253495693207,0.4621269702911377,0.2850477397441864
12,3,0.6654993295669556,0.2809392809867859,0.05356135219335556
2,4,0.28899407386779785,0.5298844575881958,0.18112148344516754
3,3,0.16646718978881836,0.6799519658088684,0.153580904006958
5,2,0.18518325686454773,0.5359984040260315,0.2788183391094208
5,3,0.2585606276988983,0.58356773853302,0.15787163376808167
4,4,0.13179807364940643,0.26352497935295105,0.6046769022941589
3,4,0.16782400012016296,0.5389662384986877,0.2932097613811493
2,3,0.3635760247707367,0.5223605632781982,0.11406337469816208
9,1,0.09817323833703995,0.47854888439178467,0.4232778251171112
6,1,0.23976539075374603,0.5733572244644165,0.18687739968299866
4,2,0.07955743372440338,0.5987251996994019,0.32171738147735596
8,3,0.1639336347579956,0.6744608283042908,0.16160547733306885
3,1,0.2595265805721283,0.626218855381012,0.11425457149744034
10,4,0.34793564677238464,0.5663422346115112,0.08572209626436234
9,4,0.16987432539463043,0.5880739092826843,0.24205175042152405
6,4,0.4306536316871643,0.42330124974250793,0.14604510366916656
4,1,0.5366117358207703,0.399003803730011,0.06438440829515457
8,2,0.5527558922767639,0.3757084906101227,0.07153555005788803
5,1,0.078603595495224,0.6222929358482361,0.29910343885421753
2,1,0.4573219120502472,0.44261136651039124,0.10006668418645859
9,3,0.06627662479877472,0.4538176655769348,0.4799056649208069
10,3,0.7457091212272644,0.2148204892873764,0.03947039693593979
8,4,0.28362876176834106,0.6007957458496094,0.11557547003030777
6,3,0.13190563023090363,0.3485102355480194,0.5195841789245605
12,1,0.07978971302509308,0.28434523940086365,0.6358650326728821
11,4,0.5262629389762878,0.25841110944747925,0.21532590687274933
14,2,0.5616125464439392,0.3453872799873352,0.09300009161233902
20,3,0.04849136248230934,0.23787467181682587,0.7136340141296387
17,2,0.6081399917602539,0.3025185465812683,0.08934146910905838
12,4,0.052451714873313904,0.19870612025260925,0.7488421201705933
18,3,0.30319368839263916,0.570993185043335,0.1258130967617035
15,3,0.06807377934455872,0.3107297420501709,0.6211965084075928
11,2,0.4458686113357544,0.465018630027771,0.08911272883415222
19,4,0.16575191915035248,0.5599318742752075,0.2743162214756012
14,1,0.6026393175125122,0.27741536498069763,0.11994534730911255
17,4,0.09642595797777176,0.2873499095439911,0.6162241101264954
16,4,0.6483813524246216,0.26123154163360596,0.09038714319467545
15,1,0.7184449434280396,0.2248300462961197,0.05672493577003479
18,1,0.11193054169416428,0.24952208995819092,0.6385473608970642
17,3,0.4060480296611786,0.36045950651168823,0.23349247872829437
19,3,0.1651393473148346,0.36718788743019104,0.46767276525497437
18,4,0.37214457988739014,0.3712247312068939,0.25663062930107117
20,1,0.34741055965423584,0.5226245522499084,0.1299649178981781
11,3,0.3446776866912842,0.43342217803001404,0.2219001054763794
1,1,0.26548460125923157,0.47692736983299255,0.2575880289077759
8,1,0.9444515109062195,0.04411797598004341,0.011430597864091396
7,1,0.16441987454891205,0.4913126230239868,0.34426745772361755
4,3,0.2310105711221695,0.647697925567627,0.12129149585962296
7,2,0.5684513449668884,0.3754972517490387,0.05605144798755646
1,2,0.33304929733276367,0.5546597838401794,0.11229091137647629
7,3,0.8350780010223389,0.14718453586101532,0.01773744821548462
9,2,0.8022763729095459,0.15521690249443054,0.04250672087073326
6,2,0.12507203221321106,0.44533348083496094,0.4295945167541504
15,4,0.5532692670822144,0.3381296694278717,0.10860104113817215
16,1,0.7302005887031555,0.2322576642036438,0.03754175081849098
14,3,0.3536822199821472,0.4762221872806549,0.17009562253952026
13,1,0.06985843926668167,0.2379409670829773,0.6922006011009216
18,2,0.5789297223091125,0.36494889855384827,0.056121405214071274
13,4,0.20849522948265076,0.34062013030052185,0.4508846402168274
16,2,0.9007945656776428,0.08051076531410217,0.018694598227739334
16,3,0.09626463800668716,0.3277655839920044,0.5759697556495667
19,1,0.2731144428253174,0.3807176351547241,0.3461679518222809
17,1,0.45339787006378174,0.4078034460544586,0.13879871368408203
